index,State,Year,Quater,District,Transaction_count,Transaction_amount
0,andaman-&-nicobar-islands,2018,1,north and middle andaman district,442,931663.0770939873
1,andaman-&-nicobar-islands,2018,1,south andaman district,5688,12560249.34366581
2,andaman-&-nicobar-islands,2018,1,nicobars district,528,1139848.801225994
3,andaman-&-nicobar-islands,2018,2,north and middle andaman district,825,1317863.0834906558
4,andaman-&-nicobar-islands,2018,2,south andaman district,9395,23948235.51634325
5,andaman-&-nicobar-islands,2018,2,nicobars district,1120,3072436.9081196385
6,andaman-&-nicobar-islands,2018,3,north and middle andaman district,1283,4901529.518499676
7,andaman-&-nicobar-islands,2018,3,south andaman district,13511,44268112.46425246
8,andaman-&-nicobar-islands,2018,3,nicobars district,1471,6387829.151558982
9,andaman-&-nicobar-islands,2018,4,north and middle andaman district,2137,7955635.917688001
10,andaman-&-nicobar-islands,2018,4,south andaman district,20136,75411840.8018554
11,andaman-&-nicobar-islands,2018,4,nicobars district,1485,7180859.354911782
12,andaman-&-nicobar-islands,2019,1,north and middle andaman district,3264,9561708.736298349
13,andaman-&-nicobar-islands,2019,1,south andaman district,25683,85501972.38780196
14,andaman-&-nicobar-islands,2019,1,nicobars district,1539,7236059.549389593
15,andaman-&-nicobar-islands,2019,2,north and middle andaman district,3371,8612103.137888122
16,andaman-&-nicobar-islands,2019,2,south andaman district,28490,102530955.71341258
17,andaman-&-nicobar-islands,2019,2,nicobars district,1828,9111650.82436246
18,andaman-&-nicobar-islands,2019,3,north and middle andaman district,4049,11481466.283356793
19,andaman-&-nicobar-islands,2019,3,south andaman district,27421,91023888.32848613
20,andaman-&-nicobar-islands,2019,3,nicobars district,2300,11566421.475451011
21,andaman-&-nicobar-islands,2019,4,north and middle andaman district,4716,13524056.784573946
22,andaman-&-nicobar-islands,2019,4,south andaman district,27843,110930312.20611623
23,andaman-&-nicobar-islands,2019,4,nicobars district,2600,12384161.52668771
24,andaman-&-nicobar-islands,2020,1,north and middle andaman district,5674,14697371.617857102
25,andaman-&-nicobar-islands,2020,1,south andaman district,32713,134679396.90582755
26,andaman-&-nicobar-islands,2020,1,nicobars district,2911,12099543.773590054
27,andaman-&-nicobar-islands,2020,2,north and middle andaman district,10979,22447714.061058953
28,andaman-&-nicobar-islands,2020,2,south andaman district,48088,132855778.74838585
29,andaman-&-nicobar-islands,2020,2,nicobars district,3895,14341508.60470232
30,andaman-&-nicobar-islands,2020,3,north and middle andaman district,16747,33486883.370425556
31,andaman-&-nicobar-islands,2020,3,south andaman district,95323,282366109.20523936
32,andaman-&-nicobar-islands,2020,3,nicobars district,5413,22166453.754695386
33,andaman-&-nicobar-islands,2020,4,north and middle andaman district,29349,68941322.38839513
34,andaman-&-nicobar-islands,2020,4,south andaman district,186494,523122462.88302904
35,andaman-&-nicobar-islands,2020,4,nicobars district,8688,35218871.04342849
36,andaman-&-nicobar-islands,2021,1,north and middle andaman district,27358,75027255.27919498
37,andaman-&-nicobar-islands,2021,1,south andaman district,207092,669604045.1248703
38,andaman-&-nicobar-islands,2021,1,nicobars district,10302,39075266.9856904
39,andaman-&-nicobar-islands,2021,2,north and middle andaman district,39200,90233388.79463302
40,andaman-&-nicobar-islands,2021,2,south andaman district,286907,760893020.5704944
41,andaman-&-nicobar-islands,2021,2,nicobars district,15307,48020606.74716837
42,andaman-&-nicobar-islands,2021,3,north and middle andaman district,46592,118254865.82750683
